{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
2: Legatus legionis, Red Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
3: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Green Eyes, No Weapon
4: Decurion, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, KILL Text, No Weapon
5: Centurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, No Weapon
6: Centurion, Purple Car Paint, Lambo Gold, Guardian 3, xD, No Weapon
7: Decurion, Gold Car Paint, Carbon Fiber, Guardian 3, xD, Sniper
8: Decurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, KILL Text, No Weapon
9: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, No Weapon
10: Decurion, Blue Car Paint, Cosmic Blue, Guardian 2, $, Ice Katana
11: Decanus, Blue Car Paint, Matte Black, Guardian 5 / WINGS, Blue Eyes, No Weapon
12: Decurion, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, Sniper
13: Centurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
14: Praefectus castrorum, Purple Car Paint, Digital Camo, Guardian 5 / WINGS, Red Skull, No Weapon
15: Decurion, Purple Car Paint, Trippy Black/Red, Guardian 3, KILL Text, No Weapon
16: Decurion, Purple Car Paint, Trippy Yellow, Guardian 5 / WINGS, Green Eyes, Katana
17: Tribunus laticlavius, Blue Car Paint, MSMC Copper Liquid, Guardian 3, X_X, No Weapon
18: Decanus, Purple Car Paint, Digital Camo, Guardian 1 / BASE, :), No Weapon
